Time,Open,High,Low,Close,Volume,VWAP
1593445560,2.09,2.09,2.08,2.08,2.0,1.876023
1593445620,2.05,2.05,2.05,2.05,1.0,1.876065
1593445680,2.04,2.04,2.0,2.0,7.0,1.876294
1593445740,2.06,2.06,2.06,2.06,1.0,1.876338
1593445920,2.0,2.02,2.0,2.02,4.0,1.876464
1593446100,2.0,2.01,2.0,2.01,2.0,1.876526
1593446280,1.96,1.98,1.96,1.98,3.0,1.876597
1593446340,2.0,2.01,1.96,1.96,8.0,1.876816
1593446400,2.01,2.01,2.01,2.01,2.0,1.876881
1593446460,2.06,2.06,2.06,2.06,2.0,1.87697
1593446580,2.08,2.08,2.08,2.08,1.0,1.877019
1593446700,2.03,2.03,2.03,2.03,10.0,1.877388
1593446940,2.01,2.01,2.01,2.01,5.0,1.877548
1593447060,2.01,2.01,2.01,2.01,1.0,1.87758
1593447120,2.01,2.01,2.01,2.01,1750.0,1.916884
1593447300,2.01,2.01,2.01,2.01,5.0,1.916963
1593447360,1.99,1.99,1.99,1.99,1.0,1.916975
1593447420,2.02,2.02,2.01,2.01,11.0,1.917152
1593447480,2.04,2.04,2.04,2.04,36.0,1.917895
1593447540,2.06,2.12,2.06,2.1,351.0,1.927352
1593447660,2.12,2.14,2.12,2.14,15.0,1.927854
1593447720,2.14,2.14,2.14,2.14,9.0,1.928156
1593447900,2.1,2.1,2.1,2.1,24.0,1.928805
1593447960,2.11,2.11,2.11,2.11,1.0,1.928834
1593448020,2.11,2.11,2.11,2.11,50.0,1.93025
1593448080,2.11,2.11,2.09,2.09,3.0,1.930328
1593448140,2.13,2.13,2.13,2.13,1.0,1.930359
1593448200,2.12,2.12,2.12,2.12,1.0,1.930388
1593448380,2.13,2.13,2.13,2.13,1.0,1.930419
1593448440,2.13,2.13,2.13,2.13,1.0,1.930451
1593448500,2.15,2.15,2.15,2.15,2.0,1.930519
1593448560,2.13,2.13,2.13,2.13,2.0,1.930581
1593448620,2.14,2.14,2.14,2.14,10.0,1.930908
1593448680,2.12,2.12,2.12,2.12,1.0,1.930937
1593448740,2.13,2.13,2.13,2.13,18.0,1.931494
1593448800,2.11,2.11,2.11,2.11,3.0,1.931577
1593448860,2.12,2.12,2.12,2.12,7.0,1.931781
1593449040,2.13,2.13,2.13,2.13,5.0,1.931935
1593449220,2.13,2.13,2.13,2.13,2.0,1.931996
1593449280,2.14,2.14,2.14,2.14,7.0,1.932221
1593449520,2.13,2.13,2.13,2.13,1.0,1.932252
1593449640,2.1,2.1,2.1,2.1,1.0,1.932278
1593449880,2.06,2.06,2.06,2.06,2.0,1.932317
1593450000,2.07,2.07,2.07,2.07,36.0,1.93308
1593450300,2.04,2.04,2.04,2.04,1.0,1.933096
1593450480,2.06,2.06,2.06,2.06,1.0,1.933116
1593450540,2.04,2.04,2.04,2.04,8.0,1.933247
1593450600,2.06,2.08,2.06,2.08,21.0,1.933657
1593450660,2.05,2.05,2.05,2.05,3.0,1.933711
1593450840,2.09,2.09,2.08,2.08,3.0,1.933779
1593450900,2.08,2.08,2.08,2.08,1.0,1.933802
1593451020,2.07,2.07,2.07,2.07,6.0,1.933926
1593451200,2.05,2.05,2.05,2.05,5.0,1.934015
1593451320,2.08,2.08,2.07,2.07,13.0,1.934289
1593451440,2.07,2.07,2.07,2.07,2.0,1.93433
1593451500,2.07,2.07,2.07,2.07,25.0,1.934845
1593451800,2.09,2.09,2.09,2.09,5.0,1.934962
1593452400,2.17,2.18,2.17,2.17,56.0,1.937016
1593452460,2.16,2.16,2.16,2.16,1.0,1.937049
1593452520,2.15,2.15,2.15,2.15,1.0,1.937081
1593452580,2.14,2.17,2.14,2.17,6.0,1.937287
1593452700,2.15,2.15,2.15,2.15,1.0,1.937319
1593452760,2.16,2.16,2.16,2.16,64.0,1.939438
1593453120,2.13,2.13,2.13,2.13,1.0,1.939466
1593453180,2.14,2.14,2.14,2.14,1.0,1.939496
1593453240,2.12,2.14,2.12,2.14,32.0,1.940356
1593453600,2.14,2.14,2.14,2.14,2.0,1.940415
1593453720,2.15,2.15,2.15,2.15,5.0,1.94057
1593453900,2.11,2.11,2.07,2.07,3.0,1.940633
1593454020,2.06,2.06,2.06,2.06,1.0,1.940651
1593454260,2.07,2.08,2.07,2.08,9.0,1.940827
1593454320,2.08,2.08,2.08,2.08,1.0,1.940847
1593454440,2.08,2.08,2.08,2.08,6.0,1.94097
1593454620,2.1,2.1,2.1,2.1,1.0,1.940994
1593454740,2.06,2.06,2.05,2.05,8.0,1.941124
1593454800,2.05,2.05,2.05,2.05,53.0,1.941966
1593454920,2.03,2.03,2.03,2.03,1.0,1.941979
1593455100,2.03,2.03,2.03,2.03,2.0,1.942005
1593455220,2.0,2.0,2.0,2.0,25.0,1.942216
1593455340,2.0,2.0,2.0,2.0,1.0,1.942224
1593455460,2.02,2.02,2.02,2.02,10.0,1.942337
1593455520,2.02,2.02,2.02,2.02,3.0,1.942371
